text,label
こんにちは。,1
本日はご利用いただきまして、ありがとうございます。,0
お客さま、どのようなご旅行をお考えでしょうか？,0
はい。,1
えー、そうですね。,1
はい。,0
あのー、キレイな、あのー。,1
星が、見れる場所や。,1
はい。,0
えっと、雲海、が、見れるような。,1
はい。,0
電車、で行ける、ツアーとか、があったら、教えていただきたいんですけど。,1
あ、はい。,0
あのー。,1
うん。,0
どうしよっかな、ちょっと場所を絞れてなくて。,1
はい。,0
あの日本でもそういう場所っていっぱいあると思うんですけど。,1
はい。,0
特におすすめの場所があれば。,1
はい。,0
ていただきたいです。,1
かしこまりました、すいません、一緒に行かれる方は、何名様になりますか？,0
あ、そうですね、えーと。,1
はい。,0
そしたら、えーと、姉〜と。,1
行こうかと思うので、2人です。,1
私と姉の。,1
あ、はい、かしこまりました。,0
はい、少々お待ちください。,0
はい。,1
はい、えーと、そうですね、あのー、場所は特に決まってないとのことですよね？,0
あのもという感じですよね？,0
あ、はい、そうですねー。,1
はい、はい、かしこまりました、少々お待ちください。,0
はい。,1
と、車でしか行けない場所だとちょっと難しいので。,1
はい。,0
電車でも行ける場所。,1
あ。,0
が、いいなと、思います。,1
はい、かしこまりました。,0
はい、えーと、少々お時間いただいております、少々お待ちください。,0
はい。,1
あ、はい、えーと、すいません、大変お待たせいたしております。,0
えーっとですね、あのー、例えばなんですけれども、あのー、東日本がよろしいとか、西日本の方がよろしいとか、そういった具体的な所は、ございますか？,0
あ、そうですね、そしたら、えと東日本で、お願いします。,1
あ、はい、かしこまりました。,0
はい、大変お待たせいたしております。,0
そうですね、あ、お客さま、こちらの。,0
えーと、10番の、美ヶ原高原の画像はご覧になれますか？,0
あ、はい、今、て見えております。,1
はい、こちら、あの、詳しく見て参りますね、少々お待ちください。,0
はい。,1
あ、はい、えーとこちらですね、やはり、あのー、標高約2千メートルの、緑豊かな美ヶ原高原でございまして、あの、やはりあの、南アルプス、長野県は、あのこういった、あの、うん、書かれてあるようにですね、あの、星空観察、が、はい、あの、できる所が多数ございますので、はい。,0
はい。,1
こちらもなかなかよろしいかと思うんですけれども。,0
はい。,1
はい。,0
そうですね、あのー。,1
ええ。,0
長野は、阿智村が、すごい有名だと思うんですけど。,1
はい。,0
こちらも。,1
あ、はい。,1
えーと、アルプス、ということで。,1
はい。,0
あの、良い眺望が、望める、と思うんで。,1
はい。,0
はい、こちら、では、はい。,1
はい。,0
長野県で。,1
ひとつ、ええ、そうですね。,0
はい、と思って、はい。,1
はい、あと、お客さま、あの、あの、先ほど阿智村とおっしゃっておりましたね。,0
そちらも、あのー、出てくるかどうかちょっと、あのお調べいたしますので。,0
はい。,1
お待ちください。,0
はい。,1
はい。,0
大変お待たせいたしております。,0
はい。,1
えー、すいません、あの、阿智村のアって、確かあのー。,0
えーと、こざとへんの、確か、阿だった気がしますね。,1
かしこまりました。,0
大変お待たせいたしました、えーとですね。,0
あのー、今、お調べしましたところ、すいません、ちょっとあのー、関係ないちょっとパーキングエリアとかが出てしまいまして。,0
はい。,1
今、あのごめんなさい、詳しい情報がちょっと、出てこないのですいませんが、申し訳ないです。,0
いえ、あの、大丈夫です。,1
そういえば、あのー。,1
はい。,0
長野、が、雲海テラスとかあったはずなので。,1
はい。,0
あのー、上手くすればその、両方。,1
あ、はい。,0
先に、雲海テラス見て、夜、先ほどの、所で星を見るっていう。,1
ことも、できると思いますんで。,1
かしこまりました、はい。,0
えーと、長野県の、雲海、雲海テラス。,0
はい、雲海テラスが確かあったって思うんですね、長野に。,1
はい。,0
ちょっと出てくるか、あの、分からないんですけど。,1
はい、字はこれで合ってますか？雲海という。,0
あ、えーと、えーと、多分、雲海　長野県で調べた方がいいかもしれない、すいません。,1
あ、はい、あの。,0
キーワードを打って、あ、はい。,1
長野県、になっておりまして、で、雲海。,0
雲海のウンっていう字はこの字で、合ってますか？,0
あ、はい、雲で合ってます。,1
あ、はい。,0
テラスを入れてしまうともしかしたら出てこないかもしれないです、はい。,1
あ、えーっと。,0
こちらがですね、4つほど引っかかりまして、はい。,0
はい。,1
あ、この、ソラテラスカフェかもしれません、私がたことあるのが。,1
あ、あー、左様でございますか、じゃ、こちら、お調べいたしますので。,0
はい。,1
少々お待ちください。,0
はい。,1
はい、大変お待たせいたしました、あ、そのようでございますね。,0
あのー、こちらにあの、雲海？雲海の形をしたとか、あのー、こちらであの。,0
はい。,1
ええ、あのコーヒーとか飲める感じですね、はい。,0
はい。,1
で、けし、あのー、綺麗な景色を見ながら、こういったあのー、お茶をすることができて、はい、あの大変おすすめでございますね。,0
はい、いいですねー。,1
はい。,0
えっと、の、かい、開店日が、決まってはいるんですね。,1
ええ、ああ、あーでも、やってますね、あの。,0
お休みが11月中旬から5月となっておりますので、あのお客さま、夏に行かれるとのことなので。,0
はい、あの、営業しておりますね。,0
はい。,1
はい、は。,0
はい、ですね。,1
ええ、はい、こちらそうですね、眺めが大変よろしくて。,0
はい、あの、コーヒーですとか、雲海パイ包みスープとか、変わっておりますね。,0
はい、そうですね。,1
