text,label
こんにちは。,1
今日は、ご利用いただきまして、ありがとうございます。,0
うん。,1
どんなところに、行ってみたいですか？,0
ユニバーサルスタジオの、うん、あの～。,1
ユニバーサルスタジオ行ってみたい？,0
うん。,1
じゃ、ちょっと待ってね。ユニバーサルスタジオだね。,0
あ、ユニバーサルスタジオってことは、大阪でいいかな？,0
うん。,1
そっか。じゃあ、この行きたい場所を大阪っていうふうにしますね。,0
うん。,1
じゃあ、いつ頃行きたいですか？,0
それは、まだ決めてない。,1
そっか、うん、じゃあ誰と行く？,0
あのー、パパとママと一緒に行きたい。,1
そっか、じゃあお父さんとお母さんと自分の3人で行きたいってことだね？,0
うん。,1
うん、わかった。じゃあ、見てみてこれ画面に写ってるの見える？,0
うん。,1
これ、何でしょう？,0
ジェットコースター。,1
ジェットコースターです。これ、名前なんて書いてる？,0
これ、見てみて。青いとこ。,0
ハリウッドドリームザライド。,1
そう、よくできました。これね、ハリウッドドリームザライドっていう乗り物です。,0
これどう？楽しそう？怖そう？,0
楽しそうだけど、私は無理だと思う。,1
無理？じゃあ、これ乗るのはやめとこっか？,0
うん。,1
うん、そうだね。じゃあ、はい、また。2番これ、写真無いね。じゃあ、見てみて3番。,0
これみて、食べるところみたい。うん。お食事。スヌーピーって知ってる？,0
うん。,1
スヌーピー好き？,0
う～ん。普通。,1
普通。そっか。じゃあ、スヌーピーさんが出てくるレストランじゃなくてもいいかな？,0
うん。,1
何か、ミニーとかそういうのが出てくるんなら行きたいと思う。,1
そっか、そっか。これ、ミニー出てくるかな。やっぱ。ここスヌーピーだけみたい。スヌーピーたちが集まるって書いてある。じゃあ、ほかのとこちょっと探してみようか。,0
ちょっと待ってね。ミニーがいるとこいいよね。フランケンシュタインとかドラキュラとかそういうのは怖いよね？,0
うん。,1
ミニーがいいよね、やっぱね。うん。ちょっと待ってね。出てくるとこないかな。,0
ジェットコースターじゃなくてあのコーヒーカップとかそういうのだったら好き。,1
そっか、そっか。じゃあ、コーヒーカップとか乗れるところがいいよね。,0
うん。,1
うん、ちょっと待ってね。じゃあ、そういうとこないか探してみよっかな。,0
あ、今ね、ここに写っている画面ではそういうコーヒーカップとかのところは出てこないみたいなんだけど、うん、ミニーがいるところでお食事できるように探してみましょうか？,0
うん。,1
どこ行ったらミニーに会えるかな？ね、会いたいよね。,0
あ、今さっきさ、すごく楽しそうなところがあった、見てみてミニオンの形をしたポテトとかどう？,0
キャラクターポテト、ミニーの形とかしたやつあるかもしれないよ。,0
そういうのどう？楽しそう？,0
うん。あとは、何かミニオンズとかそういうのが好きだから。うん。なんか、あのーミニオンズが出てくるお店、あのレストランとかそういうところ行きたい。,1
うん、行きたいよね。じゃあ、どうだろう。ここのパークサイドグリルってところに行くと、うん、とりあえずこの中の、USJの中のねユニバーサルスタジオの中のお店だからここにひとまず行ってみよっか？,0
うん。,1
